time,type
2022-08-25 08:00:00,JAM
2022-08-25 10:00:00,JAM
2022-08-25 11:00:00,JAM
2022-08-25 15:00:00,JAM
2022-08-25 16:00:00,JAM
2022-08-25 17:00:00,JAM
2022-08-25 18:00:00,JAM
2022-08-25 20:00:00,JAM
2022-08-26 06:00:00,JAM
2022-08-26 07:00:00,JAM
2022-08-26 10:00:00,JAM
2022-08-26 12:00:00,JAM
2022-08-26 13:00:00,JAM
2022-08-26 14:00:00,JAM
2022-08-26 21:00:00,JAM
2022-08-27 06:00:00,JAM
2022-08-27 07:00:00,JAM
2022-08-27 09:00:00,JAM
2022-08-27 13:00:00,JAM
2022-08-27 14:00:00,JAM
2022-08-27 16:00:00,WEATHERHAZARD
2022-08-27 17:00:00,JAM
2022-08-27 17:00:00,WEATHERHAZARD
2022-08-27 18:00:00,JAM
2022-08-27 19:00:00,JAM
2022-08-27 20:00:00,WEATHERHAZARD
2022-08-27 21:00:00,JAM
2022-08-27 21:00:00,WEATHERHAZARD
2022-08-27 22:00:00,JAM
2022-08-28 06:00:00,JAM
2022-08-28 07:00:00,JAM
2022-08-28 12:00:00,JAM
2022-08-28 13:00:00,JAM
2022-08-28 14:00:00,JAM
2022-08-28 15:00:00,JAM
2022-08-28 16:00:00,JAM
2022-08-28 17:00:00,JAM
2022-08-28 17:00:00,WEATHERHAZARD
2022-08-28 19:00:00,JAM
2022-08-28 20:00:00,JAM
2022-08-29 06:00:00,JAM
2022-08-29 07:00:00,JAM
2022-08-29 07:00:00,WEATHERHAZARD
2022-08-29 08:00:00,JAM
2022-08-29 08:00:00,WEATHERHAZARD
2022-08-29 15:00:00,JAM
2022-08-30 08:00:00,JAM
2022-08-30 09:00:00,JAM
2022-08-30 16:00:00,JAM
2022-08-30 18:00:00,JAM
2022-08-30 19:00:00,JAM
2022-08-30 20:00:00,JAM
2022-08-31 10:00:00,JAM
2022-08-31 11:00:00,JAM
2022-08-31 12:00:00,JAM
2022-08-31 16:00:00,JAM
2022-08-31 17:00:00,JAM
2022-08-31 19:00:00,WEATHERHAZARD
2022-08-31 20:00:00,WEATHERHAZARD
2022-09-01 07:00:00,JAM
2022-09-01 07:00:00,WEATHERHAZARD
2022-09-01 10:00:00,JAM
2022-09-01 12:00:00,JAM
2022-09-01 15:00:00,JAM
2022-09-01 16:00:00,JAM
2022-09-01 21:00:00,JAM
2022-09-01 21:00:00,WEATHERHAZARD
2022-09-02 05:00:00,JAM
2022-09-02 06:00:00,JAM
2022-09-02 07:00:00,JAM
2022-09-02 08:00:00,WEATHERHAZARD
2022-09-02 09:00:00,WEATHERHAZARD
2022-09-02 10:00:00,JAM
2022-09-02 10:00:00,WEATHERHAZARD
2022-09-02 11:00:00,JAM
2022-09-02 11:00:00,WEATHERHAZARD
2022-09-02 12:00:00,JAM
2022-09-02 12:00:00,WEATHERHAZARD
2022-09-02 13:00:00,JAM
2022-09-02 13:00:00,WEATHERHAZARD
2022-09-02 14:00:00,WEATHERHAZARD
2022-09-02 15:00:00,WEATHERHAZARD
2022-09-02 16:00:00,WEATHERHAZARD
2022-09-02 17:00:00,WEATHERHAZARD
2022-09-02 18:00:00,JAM
2022-09-02 18:00:00,WEATHERHAZARD
2022-09-02 19:00:00,JAM
2022-09-02 19:00:00,WEATHERHAZARD
2022-09-02 20:00:00,WEATHERHAZARD
2022-09-02 21:00:00,WEATHERHAZARD
2022-09-03 10:00:00,JAM
2022-09-03 11:00:00,JAM
2022-09-03 12:00:00,JAM
2022-09-03 15:00:00,JAM
2022-09-03 16:00:00,JAM
2022-09-04 10:00:00,JAM
2022-09-04 11:00:00,JAM
2022-09-04 12:00:00,JAM
2022-09-04 13:00:00,JAM
2022-09-04 14:00:00,JAM
2022-09-04 19:00:00,JAM
2022-09-04 20:00:00,JAM
2022-09-04 21:00:00,JAM
